record,task,trial,cueIndex,cueDir,accepted,train,guard,validation,reference,qualityScore
VisualCogA_Task-1,1,78,170737,-1,0,0,0,0,0,NaN
VisualCogA_Task-1,1,79,172862,-1,1,0,0,1,0,NaN
VisualCogA_Task-1,1,80,175003,-1,1,0,0,1,0,NaN
VisualCogA_Task-1,1,81,177171,-1,1,0,0,1,0,NaN
VisualCogA_Task-1,1,82,179319,1,1,0,0,1,0,NaN
VisualCogA_Task-1,1,83,181460,-1,1,0,0,1,0,NaN
VisualCogA_Task-1,1,84,183557,1,1,0,0,1,0,NaN
VisualCogA_Task-1,1,85,185673,-1,1,0,0,1,0,NaN
VisualCogA_Task-1,1,86,187790,1,1,0,0,1,0,NaN
VisualCogA_Task-1,1,87,189910,1,1,0,0,1,0,NaN
VisualCogA_Task-1,1,88,192087,1,0,0,0,0,0,NaN
VisualCogA_Task-1,1,89,194211,1,1,0,0,1,0,NaN
VisualCogA_Task-1,1,90,196340,1,1,0,0,1,0,NaN
VisualCogA_Task-1,1,91,198452,-1,1,0,0,1,0,NaN
VisualCogA_Task-1,1,92,200657,1,1,0,0,1,0,NaN
VisualCogA_Task-1,1,93,202757,1,1,0,0,1,0,NaN
VisualCogA_Task-1,1,94,204942,1,1,0,0,1,0,NaN
VisualCogA_Task-1,1,95,207114,-1,1,0,0,1,0,NaN
VisualCogA_Task-1,1,96,209287,1,1,0,0,1,0,NaN
VisualCogA_Task-1,1,97,211383,1,1,0,0,1,0,NaN
VisualCogA_Task-1,1,98,213468,-1,1,0,0,1,0,NaN
VisualCogA_Task-1,1,99,215620,-1,1,0,0,1,0,NaN
VisualCogA_Task-1,1,100,217817,1,1,0,0,1,0,NaN
VisualCogA_Task-2,2,1,5134,1,1,1,0,0,1,2.47934232401616
VisualCogA_Task-2,2,2,7419,-1,1,1,0,0,1,2.29664331903138
VisualCogA_Task-2,2,3,9779,-1,1,1,0,0,1,1.70417262581442
VisualCogA_Task-2,2,4,12015,-1,1,1,0,0,1,1.73873873873874
VisualCogA_Task-2,2,5,14256,1,1,1,0,0,1,2.02913943215407
VisualCogA_Task-2,2,6,16480,-1,1,1,0,0,1,2.05405405405405
VisualCogA_Task-2,2,7,18676,1,1,1,0,0,1,1.48447741407393
VisualCogA_Task-2,2,8,20865,1,1,1,0,0,1,2.25006755733107
VisualCogA_Task-2,2,9,23057,-1,1,1,0,0,1,2.14642695612844
VisualCogA_Task-2,2,10,25338,-1,1,1,0,0,1,2.26339433055851
VisualCogA_Task-2,2,11,27534,1,1,1,0,0,1,1.8081890059906
VisualCogA_Task-2,2,12,29762,1,1,1,0,0,1,2.34750904786619
VisualCogA_Task-2,2,13,31971,1,1,1,0,0,1,1.42239816851316
VisualCogA_Task-2,2,14,34167,-1,1,1,0,0,0,3.42533035070349
VisualCogA_Task-2,2,15,36416,-1,1,1,0,0,1,1.73247093769482
VisualCogA_Task-2,2,16,38700,-1,1,1,0,0,1,2.10964220665713
VisualCogA_Task-2,2,17,40944,1,1,1,0,0,1,2.27716137129918
VisualCogA_Task-2,2,18,43165,1,1,1,0,0,1,2.22115479952303
VisualCogA_Task-2,2,19,45421,-1,1,1,0,0,1,2.98811837617808
VisualCogA_Task-2,2,20,47594,-1,1,1,0,0,1,2.16443580622685
VisualCogA_Task-2,2,21,49822,1,1,1,0,0,1,1.53830539934104
VisualCogA_Task-2,2,22,52006,-1,1,1,0,0,0,3.24194445463102
VisualCogA_Task-2,2,23,54227,1,1,1,0,0,1,2.05619052873964
VisualCogA_Task-2,2,24,56419,1,1,1,0,0,1,1.20493119831577
VisualCogA_Task-2,2,25,58632,-1,1,1,0,0,1,2.33356558729692
VisualCogA_Task-2,2,26,60796,-1,1,1,0,0,1,1.91811519796595
VisualCogA_Task-2,2,27,62973,1,1,1,0,0,0,2.52484481706752
VisualCogA_Task-2,2,28,65182,1,1,1,0,0,1,1.71314534264838
VisualCogA_Task-2,2,29,67406,1,1,1,0,0,0,2.78815497238185
VisualCogA_Task-2,2,30,69686,-1,0,0,0,0,0,NaN
VisualCogA_Task-2,2,31,71942,-1,1,1,0,0,1,2.24935824562691
VisualCogA_Task-2,2,32,74111,-1,1,1,0,0,1,1.85182502719815
VisualCogA_Task-2,2,33,76263,1,0,0,0,0,0,NaN
VisualCogA_Task-2,2,34,78456,-1,1,1,0,0,1,1.48556969452492
VisualCogA_Task-2,2,35,80692,-1,1,1,0,0,1,1.35926937792609
VisualCogA_Task-2,2,36,82916,1,1,1,0,0,1,1.39196779193116
VisualCogA_Task-2,2,37,85073,1,1,1,0,0,1,2.20902337698289
VisualCogA_Task-2,2,38,87273,-1,1,1,0,0,1,1.75683315608688
VisualCogA_Task-2,2,39,89490,1,1,1,0,0,0,3.28126977838369
VisualCogA_Task-2,2,40,91758,-1,1,1,0,0,1,2.50790580268192
VisualCogA_Task-2,2,41,93939,-1,1,1,0,0,0,5.02754043052552
VisualCogA_Task-2,2,42,96183,-1,1,1,0,0,1,1.37947241678585
VisualCogA_Task-2,2,43,98376,-1,1,1,0,0,0,3.86965968682387
VisualCogA_Task-2,2,44,100572,-1,1,1,0,0,1,1.94245602454557
VisualCogA_Task-2,2,45,102844,-1,0,0,0,0,0,NaN
VisualCogA_Task-2,2,46,105005,-1,1,1,0,0,1,2.25108792646106
VisualCogA_Task-2,2,47,107202,-1,1,1,0,0,1,1.46475546102411
VisualCogA_Task-2,2,48,109366,-1,1,1,0,0,1,1.73880597014926
VisualCogA_Task-2,2,49,111602,1,1,1,0,0,1,2.298251194333
VisualCogA_Task-2,2,50,113839,1,1,1,0,0,0,2.91958044410792
VisualCogA_Task-2,2,51,116072,-1,0,0,0,0,0,NaN
VisualCogA_Task-2,2,52,118296,1,1,1,0,0,1,2.20785671082227
VisualCogA_Task-2,2,53,120444,1,1,1,0,0,1,1.47584274433218
VisualCogA_Task-2,2,54,122665,-1,1,1,0,0,0,3.57741391323482
VisualCogA_Task-2,2,55,124877,-1,1,1,0,0,0,3.15145708802426
VisualCogA_Task-2,2,56,127058,1,1,1,0,0,1,2.33698633263628
VisualCogA_Task-2,2,57,129278,1,1,1,0,0,1,1.4297314238803
VisualCogA_Task-2,2,58,131503,1,1,1,0,0,1,1.81504315659679
VisualCogA_Task-2,2,59,133739,1,1,1,0,0,1,1.57153533497077
VisualCogA_Task-2,2,60,135967,1,1,1,0,0,0,2.61665337157936
VisualCogA_Task-2,2,61,138204,-1,1,0,1,0,0,NaN
VisualCogA_Task-2,2,62,140444,1,1,0,1,0,0,NaN
VisualCogA_Task-2,2,63,142629,-1,0,0,0,0,0,NaN
VisualCogA_Task-2,2,64,144829,-1,1,0,1,0,0,NaN
VisualCogA_Task-2,2,65,147026,1,1,0,0,1,0,NaN
VisualCogA_Task-2,2,66,149202,-1,1,0,0,1,0,NaN
VisualCogA_Task-2,2,67,151387,1,1,0,0,1,0,NaN
VisualCogA_Task-2,2,68,153563,1,1,0,0,1,0,NaN
VisualCogA_Task-2,2,69,155803,-1,1,0,0,1,0,NaN
VisualCogA_Task-2,2,70,158052,-1,1,0,0,1,0,NaN
VisualCogA_Task-2,2,71,160244,1,1,0,0,1,0,NaN
VisualCogA_Task-2,2,72,162413,1,1,0,0,1,0,NaN
VisualCogA_Task-2,2,73,164561,1,1,0,0,1,0,NaN
VisualCogA_Task-2,2,74,166790,1,1,0,0,1,0,NaN
VisualCogA_Task-2,2,75,169006,-1,1,0,0,1,0,NaN
VisualCogA_Task-2,2,76,171186,-1,1,0,0,1,0,NaN
VisualCogA_Task-2,2,77,173443,-1,1,0,0,1,0,NaN
VisualCogA_Task-2,2,78,175619,1,1,0,0,1,0,NaN
VisualCogA_Task-2,2,79,177884,-1,1,0,0,1,0,NaN
VisualCogA_Task-2,2,80,180048,1,1,0,0,1,0,NaN
VisualCogA_Task-2,2,81,182296,-1,1,0,0,1,0,NaN
VisualCogA_Task-2,2,82,184493,1,1,0,0,1,0,NaN
VisualCogA_Task-2,2,83,186721,1,1,0,0,1,0,NaN
VisualCogA_Task-2,2,84,188926,-1,1,0,0,1,0,NaN
VisualCogA_Task-2,2,85,191110,1,1,0,0,1,0,NaN
VisualCogA_Task-2,2,86,193323,-1,0,0,0,0,0,NaN
VisualCogA_Task-2,2,87,195471,-1,0,0,0,0,0,NaN
VisualCogA_Task-2,2,88,197672,1,1,0,0,1,0,NaN
VisualCogA_Task-2,2,89,199804,-1,1,0,0,1,0,NaN
VisualCogA_Task-2,2,90,202001,-1,1,0,0,1,0,NaN
VisualCogA_Task-2,2,91,204305,-1,1,0,0,1,0,NaN
VisualCogA_Task-2,2,92,206501,-1,1,0,0,1,0,NaN
VisualCogA_Task-2,2,93,208750,1,1,0,0,1,0,NaN
VisualCogA_Task-2,2,94,210926,-1,1,0,0,1,0,NaN
VisualCogA_Task-2,2,95,213151,-1,1,0,0,1,0,NaN
VisualCogA_Task-2,2,96,215327,-1,1,0,0,1,0,NaN
VisualCogA_Task-2,2,97,217536,-1,1,0,0,1,0,NaN
VisualCogA_Task-2,2,98,219716,-1,1,0,0,1,0,NaN
VisualCogA_Task-2,2,99,221905,-1,1,0,0,1,0,NaN
VisualCogA_Task-2,2,100,224097,-1,1,0,0,1,0,NaN
VisualCogB_Task-1,1,1,5155,-1,1,1,0,0,1,1.72874974984401
VisualCogB_Task-1,1,2,7487,-1,0,0,0,0,0,NaN
VisualCogB_Task-1,1,3,9648,1,1,1,0,0,1,1.99392981562329
VisualCogB_Task-1,1,4,11777,-1,1,1,0,0,1,1.99565522769214
VisualCogB_Task-1,1,5,13889,1,1,1,0,0,0,5.35349113462206
VisualCogB_Task-1,1,6,16050,1,1,1,0,0,0,4.33691844416415
VisualCogB_Task-1,1,7,18234,1,1,1,0,0,1,1.33738501980743
VisualCogB_Task-1,1,8,20379,-1,1,1,0,0,1,1.2203508716363
VisualCogB_Task-1,1,9,22479,-1,1,1,0,0,1,1.17638648159412
VisualCogB_Task-1,1,10,24783,-1,1,1,0,0,1,1.24337691114224
VisualCogB_Task-1,1,11,26964,1,1,1,0,0,1,1.30901219648711
VisualCogB_Task-1,1,12,29104,-1,1,1,0,0,1,1.62028418851095
VisualCogB_Task-1,1,13,31237,1,1,1,0,0,1,2.02518671105599
VisualCogB_Task-1,1,14,33361,1,0,0,0,0,0,NaN
VisualCogB_Task-1,1,15,35554,-1,1,1,0,0,1,1.39480369341938
VisualCogB_Task-1,1,16,37667,1,1,1,0,0,1,1.93069324384953
VisualCogB_Task-1,1,17,39799,-1,1,1,0,0,1,2.14424642176784
VisualCogB_Task-1,1,18,41900,-1,1,1,0,0,1,2.26996975316026
VisualCogB_Task-1,1,19,44056,1,1,1,0,0,1,2.69870730928353
VisualCogB_Task-1,1,20,46169,-1,1,1,0,0,0,3.20997869514679
VisualCogB_Task-1,1,21,48305,1,1,1,0,0,1,1.54492156798798
VisualCogB_Task-1,1,22,50462,1,1,1,0,0,1,1.99591790384135
VisualCogB_Task-1,1,23,52618,1,0,0,0,0,0,NaN
VisualCogB_Task-1,1,24,54763,1,1,1,0,0,1,3.18892934699095
VisualCogB_Task-1,1,25,56883,1,0,0,0,0,0,NaN
VisualCogB_Task-1,1,26,58976,1,1,1,0,0,1,1.75980198153618
VisualCogB_Task-1,1,27,61073,1,1,1,0,0,1,1.71505376344086
VisualCogB_Task-1,1,28,63177,1,1,1,0,0,1,2.8531788110019
VisualCogB_Task-1,1,29,65366,1,1,1,0,0,1,1.76313441286244
VisualCogB_Task-1,1,30,67490,-1,1,1,0,0,1,2.89474020588061
VisualCogB_Task-1,1,31,69695,1,1,1,0,0,1,2.04572382541492
VisualCogB_Task-1,1,32,71823,-1,1,1,0,0,1,2.29084296651863
VisualCogB_Task-1,1,33,73896,-1,1,1,0,0,1,1.74637157168468
VisualCogB_Task-1,1,34,76036,1,1,1,0,0,1,2.69528423653035
VisualCogB_Task-1,1,35,78189,-1,1,1,0,0,1,2
VisualCogB_Task-1,1,36,80341,-1,0,0,0,0,0,NaN
VisualCogB_Task-1,1,37,82430,-1,1,1,0,0,1,2.0792666666101
VisualCogB_Task-1,1,38,84650,-1,1,1,0,0,0,3.02516906208402
VisualCogB_Task-1,1,39,86791,1,1,1,0,0,1,3.33229999168509
VisualCogB_Task-1,1,40,88927,1,1,1,0,0,0,4.24343260993542
VisualCogB_Task-1,1,41,91092,-1,1,1,0,0,1,1.35014711481422
VisualCogB_Task-1,1,42,93192,1,1,1,0,0,1,2.55233785835316
VisualCogB_Task-1,1,43,95341,1,1,1,0,0,1,3.39529842771648
VisualCogB_Task-1,1,44,97458,1,1,1,0,0,1,1.98376916140667
VisualCogB_Task-1,1,45,99706,1,1,1,0,0,1,1.42101459047851
VisualCogB_Task-1,1,46,101999,-1,1,1,0,0,0,4.30777637039996
VisualCogB_Task-1,1,47,104199,-1,1,1,0,0,0,4.22907454021494
VisualCogB_Task-1,1,48,106295,1,1,1,0,0,0,4.91631151974677
VisualCogB_Task-1,1,49,108396,1,1,1,0,0,1,1.37665655654835
VisualCogB_Task-1,1,50,110569,-1,0,0,0,0,0,NaN
VisualCogB_Task-1,1,51,112657,1,1,1,0,0,0,3.77022031008476
VisualCogB_Task-1,1,52,114758,-1,1,1,0,0,1,1.77553992451817
VisualCogB_Task-1,1,53,116898,1,1,1,0,0,1,1.29707147392362
VisualCogB_Task-1,1,54,118979,-1,0,0,0,0,0,NaN
VisualCogB_Task-1,1,55,121068,1,1,1,0,0,1,3.76691564412267
VisualCogB_Task-1,1,56,123212,-1,1,1,0,0,1,1.92796139203522
VisualCogB_Task-1,1,57,125305,1,1,1,0,0,1,1.97619333037757
VisualCogB_Task-1,1,58,127413,1,0,0,0,0,0,NaN
VisualCogB_Task-1,1,59,129526,1,1,1,0,0,0,4.49895358365646
VisualCogB_Task-1,1,60,131678,1,1,1,0,0,1,1.35815483436124
VisualCogB_Task-1,1,61,133811,-1,0,0,0,0,0,NaN
VisualCogB_Task-1,1,62,136035,-1,1,0,1,0,0,NaN
VisualCogB_Task-1,1,63,138196,1,1,0,1,0,0,NaN
VisualCogB_Task-1,1,64,140336,-1,1,0,1,0,0,NaN
VisualCogB_Task-1,1,65,142449,-1,1,0,0,1,0,NaN
VisualCogB_Task-1,1,66,144605,-1,0,0,0,0,0,NaN
VisualCogB_Task-1,1,67,146682,1,1,0,0,1,0,NaN
VisualCogB_Task-1,1,68,148775,1,1,0,0,1,0,NaN
VisualCogB_Task-1,1,69,150959,-1,1,0,0,1,0,NaN
VisualCogB_Task-1,1,70,153080,-1,1,0,0,1,0,NaN
VisualCogB_Task-1,1,71,155200,1,1,0,0,1,0,NaN
VisualCogB_Task-1,1,72,157293,1,1,0,0,1,0,NaN
VisualCogB_Task-1,1,73,159393,-1,1,0,0,1,0,NaN
VisualCogB_Task-1,1,74,161514,-1,1,0,0,1,0,NaN
VisualCogB_Task-1,1,75,163679,1,1,0,0,1,0,NaN
VisualCogB_Task-1,1,76,165815,-1,1,0,0,1,0,NaN
VisualCogB_Task-1,1,77,167983,-1,1,0,0,1,0,NaN
VisualCogB_Task-1,1,78,170140,-1,0,0,0,0,0,NaN
VisualCogB_Task-1,1,79,172280,1,1,0,0,1,0,NaN
VisualCogB_Task-1,1,80,174417,-1,1,0,0,1,0,NaN
VisualCogB_Task-1,1,81,176534,-1,1,0,0,1,0,NaN
VisualCogB_Task-1,1,82,178706,1,1,0,0,1,0,NaN
VisualCogB_Task-1,1,83,180847,-1,1,0,0,1,0,NaN
VisualCogB_Task-1,1,84,183023,-1,1,0,0,1,0,NaN
VisualCogB_Task-1,1,85,185124,1,1,0,0,1,0,NaN
VisualCogB_Task-1,1,86,187268,-1,1,0,0,1,0,NaN
VisualCogB_Task-1,1,87,189369,-1,1,0,0,1,0,NaN
VisualCogB_Task-1,1,88,191617,1,0,0,0,0,0,NaN
VisualCogB_Task-1,1,89,193778,-1,1,0,0,1,0,NaN
VisualCogB_Task-1,1,90,195874,-1,1,0,0,1,0,NaN
VisualCogB_Task-1,1,91,198019,1,1,0,0,1,0,NaN
VisualCogB_Task-1,1,92,200135,1,0,0,0,0,0,NaN
VisualCogB_Task-1,1,93,202260,-1,1,0,0,1,0,NaN
VisualCogB_Task-1,1,94,204368,1,1,0,0,1,0,NaN
VisualCogB_Task-1,1,95,206497,-1,1,0,0,1,0,NaN
VisualCogB_Task-1,1,96,208558,1,1,0,0,1,0,NaN
VisualCogB_Task-1,1,97,210654,-1,1,0,0,1,0,NaN
VisualCogB_Task-1,1,98,212807,1,1,0,0,1,0,NaN
VisualCogB_Task-1,1,99,214963,1,1,0,0,1,0,NaN
VisualCogB_Task-1,1,100,217064,1,1,0,0,1,0,NaN
VisualCogB_Task-2,2,1,5135,-1,1,1,0,0,1,1.89744352200331
VisualCogB_Task-2,2,2,7348,-1,1,1,0,0,0,3.2177864374784
VisualCogB_Task-2,2,3,9612,-1,1,1,0,0,1,1.59301685210009
VisualCogB_Task-2,2,4,11872,1,1,1,0,0,1,1.84343849271552
VisualCogB_Task-2,2,5,13997,-1,1,1,0,0,1,1.481814773194
VisualCogB_Task-2,2,6,16162,1,1,1,0,0,0,3.44720944243619
VisualCogB_Task-2,2,7,18322,1,1,1,0,0,0,3.65244550334099
VisualCogB_Task-2,2,8,20499,1,1,1,0,0,1,1.9131668309782
VisualCogB_Task-2,2,9,22631,1,1,1,0,0,1,1.49048088509145
VisualCogB_Task-2,2,10,24760,-1,1,1,0,0,0,3.78912388802255
VisualCogB_Task-2,2,11,26928,1,1,1,0,0,1,2.53534614963302
VisualCogB_Task-2,2,12,29132,1,1,1,0,0,1,1.20534834045349
VisualCogB_Task-2,2,13,31373,1,1,1,0,0,1,1.35804852667323
VisualCogB_Task-2,2,14,33577,1,0,0,0,0,0,NaN
VisualCogB_Task-2,2,15,35810,1,1,1,0,0,0,3.40999561835907
VisualCogB_Task-2,2,16,38034,1,0,0,0,0,0,NaN
VisualCogB_Task-2,2,17,40199,-1,1,1,0,0,1,1.6970770259419
VisualCogB_Task-2,2,18,42379,1,1,1,0,0,1,1.34065341220287
VisualCogB_Task-2,2,19,44604,1,1,1,0,0,1,1.41168528864059
VisualCogB_Task-2,2,20,46812,-1,1,1,0,0,0,3.92094034089986
VisualCogB_Task-2,2,21,49004,1,1,1,0,0,1,1.77647058823529
VisualCogB_Task-2,2,22,51141,1,1,1,0,0,1,1.60052305838536
VisualCogB_Task-2,2,23,53341,-1,0,0,0,0,0,NaN
VisualCogB_Task-2,2,24,55494,-1,1,1,0,0,1,1.54918058546175
VisualCogB_Task-2,2,25,57694,-1,1,1,0,0,1,2.22654864091947
VisualCogB_Task-2,2,26,59879,1,0,0,0,0,0,NaN
VisualCogB_Task-2,2,27,62071,-1,1,1,0,0,1,2.46613563388539
VisualCogB_Task-2,2,28,64296,-1,1,1,0,0,1,2.01342966407418
VisualCogB_Task-2,2,29,66448,-1,1,1,0,0,0,3.40989116735823
VisualCogB_Task-2,2,30,68633,1,1,1,0,0,1,3.17521908204622
VisualCogB_Task-2,2,31,70845,1,1,1,0,0,1,2.20310548800525
VisualCogB_Task-2,2,32,73046,1,1,1,0,0,0,3.33832840398728
VisualCogB_Task-2,2,33,75190,1,1,1,0,0,1,2.50092288311973
VisualCogB_Task-2,2,34,77370,1,1,1,0,0,1,1.92995946982145
VisualCogB_Task-2,2,35,79567,-1,1,1,0,0,1,1.93308889425906
VisualCogB_Task-2,2,36,81784,1,1,1,0,0,1,3.00795267827801
VisualCogB_Task-2,2,37,83960,-1,1,1,0,0,1,1.24570353264492
VisualCogB_Task-2,2,38,86168,-1,1,1,0,0,0,3.77024056315988
VisualCogB_Task-2,2,39,88413,1,1,1,0,0,1,2.07803428634023
VisualCogB_Task-2,2,40,90641,1,1,1,0,0,1,1.61489757914339
VisualCogB_Task-2,2,41,92818,1,1,1,0,0,0,3.51124164749698
VisualCogB_Task-2,2,42,94978,-1,1,1,0,0,1,2.32947042294426
VisualCogB_Task-2,2,43,97143,-1,0,0,0,0,0,NaN
VisualCogB_Task-2,2,44,99263,1,1,1,0,0,1,1.39842808631832
VisualCogB_Task-2,2,45,101499,-1,1,1,0,0,1,2.96589256745553
VisualCogB_Task-2,2,46,103676,-1,1,1,0,0,1,1.53278839349669
VisualCogB_Task-2,2,47,105832,1,1,1,0,0,1,1.4512350750356
VisualCogB_Task-2,2,48,108041,-1,1,1,0,0,1,1.77108235541449
VisualCogB_Task-2,2,49,110294,1,1,1,0,0,1,2.98637309672472
VisualCogB_Task-2,2,50,112486,-1,0,0,0,0,0,NaN
VisualCogB_Task-2,2,51,114690,-1,1,1,0,0,1,2.20399276977609
VisualCogB_Task-2,2,52,116899,-1,1,1,0,0,1,1.55993608534092
VisualCogB_Task-2,2,53,119099,1,1,1,0,0,1,2.65251122795486
VisualCogB_Task-2,2,54,121248,1,0,0,0,0,0,NaN
VisualCogB_Task-2,2,55,123480,1,1,1,0,0,1,2.33433015664366
VisualCogB_Task-2,2,56,125613,-1,0,0,0,0,0,NaN
VisualCogB_Task-2,2,57,127769,-1,0,0,0,0,0,NaN
VisualCogB_Task-2,2,58,129942,-1,1,1,0,0,1,1.77433877370115
VisualCogB_Task-2,2,59,132130,-1,1,1,0,0,1,3.04541202631576
VisualCogB_Task-2,2,60,134319,-1,1,1,0,0,1,1.89689540341118
VisualCogB_Task-2,2,61,136491,-1,1,0,1,0,0,NaN
VisualCogB_Task-2,2,62,138640,1,1,0,1,0,0,NaN
VisualCogB_Task-2,2,63,140880,-1,1,0,1,0,0,NaN
VisualCogB_Task-2,2,64,143128,-1,1,0,1,0,0,NaN
VisualCogB_Task-2,2,65,145293,1,1,0,0,1,0,NaN
VisualCogB_Task-2,2,66,147453,1,1,0,0,1,0,NaN
VisualCogB_Task-2,2,67,149654,1,1,0,0,1,0,NaN
VisualCogB_Task-2,2,68,151826,1,1,0,0,1,0,NaN
VisualCogB_Task-2,2,69,154039,-1,1,0,0,1,0,NaN
